No.,Código,Nombre,Sector,Nombre Rector,Teléfono,Correo Electrónico
35,352001000539,I.E.M. PEDAGOGICO,Público,JURADO ERAZO GLORIA ENEYDA,7202597-3147098911,iempedagogico@sempasto.gov.co
36,252001000992,C.E.M. SANTA TERESITA,Público,CARLOS GABRIEL CARDENAS BENAVIDES,3148206517,cemteresita@sempasto.gov.co lecarjo@gmail.com
37,452001002528,INST EDUC MPAL EL ENCANO,Público,NYLCE MARIEN ERASO BOLAÑOS,7218018 - 3155809130,iemencano@gmail.com
38,152001005051,I.E.M. CIUDADELA EDUCATIVA DE PASTO,Público,CABRERA PAZ FAVIO IVAN,7308142,iemciudadeladepasto@sempasto.gov.co
39,152001005027,I.E.M. LUIS EDUARDO MORA OSEJO,Público,BETTY LUCIA YELA PEREZ,7219744-3183121226,iemlemo@sempasto.gov.co luiseduardomoraosejo2011@gmail.com noviembre17991@hotmail.com
40,252001000275,I.E.M. NUESTRA SEÑORA DE LA VISITACION,Público,JORGE MIGUEL AYALA ROSERO,3185358756,iemmocondino@sempasto.gov.co
41,152001000777,I.E.M. CIUDAD DE PASTO,Público,JOSE VICENTE GUANCHA,7204671-7202115,iemciudaddepasto@gov.co jovigu2003@yahoo.com
42,152001003105,I.E.M. AURELIO ARTURO MARTINEZ,Público,JORGE ARNULFO GUERRERO CADENA,7206368-3164998419,iemaurelioarturo@sempasto.gov.co iemaureliomartinez@gmail.com
43,152001001293,I.E.M. SANTA BÁRBARA,Público,SANTIAGO VILLOTA,7364773-3006093454,iembarbara@sempasto.gov.co santivillota@yahoo.com
44,252001006656,LICEO JOSE FELIX JIMENEZ,Público,FABIO GUSTAVO SALAZAR CRIOLLO,7363300-7302006,iemfelix@sempasto.gov.co
45,252001000127,I.E.M. MORASURCO,Público,YEPEZ CEVILLANO JESUS FABRICIO,3136527583,jesusfabricioyepezsevillano@yahoo.es
46,152001000599,I.E.M. MARIA GORETTI,Público,RAFAEL GUTIERREZ TARRIFA,7219179 EXT 101 -102,iemgoretti@sempasto.gov.co
47,352001001586,COL NUESTRA SEÑORA DE LAS LAJAS,Público,TENIENTE CLAUDIA MARLENY JIMENEZ DIAZ,3224487300,mepas.nusla-rec@policia.gov.co
48,152001001277,I.E.M. ANTONIO NARIÑO,Público,MARIO FERNANDO MARTINEZ NARVAEZ,7364642-3165384301,inedanpasto@gmail.com mmmarcofs@gmail.com
49,152001001153,I.E.M. HERALDO ROMERO SANCHEZ,Público,RICARDO EUGENIO CAMPAÑA,7309499-3015608735,iemheraldo@sempasto.gov.co ricardocam05@yahoo.es
50,152001001064,I.E.M. TECNICO INDUSTRIAL,Público,ZUÑIGA TIMANA HUMBERTO EFREN,7235767 - 3006183835,iemtecnicoindustrial@sempasto.gov.co humbertoezt@gmail.com
51,352001800047,SALA MATERNAL Y JARDIN INFANTIL  MONTESORI,Privado,ELSA SALAZAR DE GIRON,7296791 - 3017355888-3166164535,jardininfantilmontessoripasto@gmail.com Jmontessoripasto@gmail.com
52,352001800004,CENTRO DE DESARROLLO Y CREATIVIDAD INFANTIL TESORITOS,Privado,JACQUELINE MUÑOZ GUERRERO,7220868 - 7377503 -3165888046,ctesoritos2015@gmail.com
53,352001006791,INSTITUCION EDUCATIVA DEL SUR - INESUR,Privado,JOHN HARVEY BENAVIDES MORA,7367447 - 3186147046,inesurpasto@hotmail.es
54,352001006677,I.E. SIMÓN BOLÍVAR,Privado,YOLIMA ADRIANA CORDOBA CALVACHE,7356840-3164453241,i.e.m.simon.bolivar@gmail.com
55,352001006669,CENTRO DE EDUCACIÓN INFANTIL EXPLORADORES DE TALENTOS,Privado,YAMILE RUANO CAICEDO,720 27 95,exploradoresdetalentos@hotmail.com
56,352001005182,CENT EDUC PEQUEÑOS TALENTOS,Privado,DEISY ALEXANDRA VALLEJO CHAMORRO,7306622,pequenos.talentos@hotmail.com
57,352001004895,SALA CUNA Y PREESC PEQUITAS,Privado,GLORIA ESPERANZA PAREDES,7310185,preescolarpequitas@hotmail.com
58,352001005085,JARDIN INFANTIL CHIQUIS BABIES,Privado,LIDIA MAGOLA GONZALEZ,7225678,chiquisbabies@hotmail.com
59,352001004771,INST AGUSTIN NIETO CABALLERO,Privado,ROSERO ESTUPIÑAN JHON JAIRO,7361149-3165861436,agustinnietopasto@gmail.com   jhonjroseroe@gmail.com
60,352001004399,JARD INF EL PAIS DE LAS MARAVILLAS,Privado,AMALIA PAREJA BINDER,7314588 - 3013598336,catiro13@hotmail.com
61,352001006096,INST JORGE ELIECER GAITAN,Privado,MARIA STELLA ERAZO,7361576 - 3174246456,institutojorgeeliecergaitan@live.com
62,352001001519,COLEGIO DEL SAGRADO CORAZON DE JESUS,Privado,EDITH AMPARO TORRES RODRIGUEZ,7360022-7232545,academicabeth@gmail.com colbethlemitaspasto@gmail.com
63,352001006740,COLEGIO BACHILLERATO COLSUP,Privado,JOSE  LEONARDO QUINTERO ORDOÑEZ,7313163,institutocolsup@hotmail.com
64,352001006626,CENTRO PEDAGÓGICO MARIA DE LA PAZ,Privado,SARA CELINA ENRIQUEZ PASICHANA,7377714 - 3218508462,centropedagogicomariadelapaz@gmail.com
65,352001006774,CENTRO EDUCATIVO BOLIVARIANO,Privado,MARIA ESPERANZA NARVAEZ MUÑOZ,7227378 - 3154822860,ceb.bolivariano.pasto@gmail.com
66,352001004941,JARD INF  MI PEQUEÑA U.,Privado,LORENA MAGALY GOYES,3184049988,lorenamagaly59@hotmail.com
67,352001003902,LIC RAFAEL POMBO,Privado,DORIS JACKELINE MARCILLO VILLOTA,3177655632 - 3193887138,lirapoeducacion@hotmail.com
68,352001004712,LIC RONDITAS DE SAN JUAN,Privado,CARMEN BRAVO PORTILLA,7309159 - 3216444979,ronditasdesanjuan@yahoo.es
69,352001003724,JARD INFANTIL MIS AMIGOS Y YO,Privado,ROSA SALAMANCA,7225267 - 3155202733,jardinmisyo@yahoo.es
70,352001003210,JARD INF PSICOPEDAGOGICO PERSONITAS DEL MAÑANA,Privado,MARIA INES MEDINA,7233577 - 3043933751,jardinpersonitas@yahoo.com
71,352001006294,JRD INF GENIOS DEL MAÑANA,Privado,ELVIA MIRIAN ORDOÑEZ ORDOÑEZ,7213543 - 3192470306,genios406@hotmail.com
72,352001002795,COL MUSICAL BRITANICO,Privado,LUIS CARLOS VALLEJOS ROJAS,3178943349,cmbcabrera@hotmail.com
73,352001004950,COL LOS ANDES NTRA SRA DE LAS MERCEDES,Privado,SONIA AMPARO MUÑOZ CHAPAL,7213079,amunozeducacion@yahoo.es
74,352001003554,COLEGIO MUNDO DE PRAGA,Privado,ANA LUISA REVELO BELALCAZAR,7293557-3165389596,mundodepraga@hotmail.com
75,352001004135,INST SAN FRANCISCO DE ASIS,Privado,OMAR EDUARDO CAÑAR CERON,7239515 - 7239572,isfaedu@gmail.com
76,352001800021,INSTITUTO GRAN COLOMBIANO JOSE MUTIS,Privado,DIMARO FABIAN MUÑOZ,7233974 - 3017985850,institutojosemutis@gmail.com
77,352001800128,CENTRO EDUCATIVO TRANSFORMADORES DEL SABER,Privado,MARISOL LASSO RIASCOS,3146979209,ietransformadoresdelsaber@gmail.com
78,352001004925,CENT EDUC SEMILLITAS DEL SABER,Privado,SONIA PATRICIA REVELO CORAL,7307749,semillitasaber@hotmail.es
79,352001005077,CENT DE ESTIMULACION TEMPRANA Y PREESC NENITOS CREATIVOS,Privado,OSVALDO ARCOS PATIÑO,7304224 - 7330302 - 3162912513,nenitoscre@yahoo.com   arcosvaldo@yahoo.com  nenitoscre@gmail.com
80,352001004828,SALA MATERNAL Y PREESC MIS PRIMEROS GARABATOS,Privado,OLGA LUCIA MEDISIS BENAVIDES,7370481-3006750583,edugarabatos@hotmail.com olguita.medicis@gmail.com
81,352001005239,COL INSUCA,Privado,HERNANDO VALENCIA MONTEZUMA,7364594,insuca1977@gmail.com
82,352001003911,PREESC EL MUNDO DE MAFALDA,Privado,DEISY MERCEDES URRESTA CORDOBA,7214304,jardinmafaldap@yahoo.es
83,352001006064,JARDÍN INFANTIL DULCE SONRISITA,Privado,AYDA CHARFUELAN,7308425,jarddulce17@hotmail.com
84,352001006499,SALA MATERNAL Y JARD INF ANDY PANDA,Privado,EDY DEL ROSARIO CASTRO V,7226563- 3162553891,andypanditas@gmail.com
85,352001006464,JARD INF SAN MARCOS,Privado,RUTH BURBANO PANTOJA,7206663,jardininfantilsanmarcos@hotmail.com
86,352001006456,CENT DE EDUCACION PREESCOLAR PLAZA SESAMO,Privado,JANETH ADRIANA FAJARDO MUÑOZ,3166115886-3117906268,plazasesamo01@hotmail.es
87,352001006032,CENT DE ESTIMULACION INTEGL PEQUEÑOS SABIOS,Privado,LUIS FERNANDO QUIROZ ALVARADO,7291657 - 3166222251,luisfernandops2013@gmail.com
88,352001005140,CENT DE DES Y CREATIVIDAD INFANTIL - CENTIR,Privado,ANA YOLANDA MARTINEZ RODRIGUEZ RODRIGUEZ,7235490,yolymartinez371@gmail.com
89,352001005123,CENT EDUC PRINCIPE DE PAZ,Privado,SANDRA PATRICIA RAMOS MUÑOZ,7298206 -3178079821,patyramos05@hotmail.com
90,352001005018,COLEGIO COLOMBO SUIZO,Privado,NANCY ERAZO MEJIA,7231550 -7377171-3136137214,colombosuizo@gmail.com nancyjulia11@hotmail.com
91,352001004577,GIMN BOLIVARIANO,Privado,ROSALBA  OTERO VALLEJO,7304888 -3207664463,gimnasiobolivariano@hotmail.com
92,352001006553,COLEGIO INFANTIL PANAMERICANO,Privado,CARMEN ELENA BASTIDAS,7201729,amandyvallejo@hotmail.com
93,352001001454,INST CHAMPAGNAT,Privado,ANTIDIO  BOLIVAR ENRIQUES OVIEDO,7212086-7212087,champagnatpasto@maristasnorandina.org
94,352001002175,COL NUESTRA SRA DEL CARMEN,Privado,BIBIANA ALEXANDRA PEREZ MARTINEZ,7235811,colcarmelitasm@yahoo.com bibianaperezmartinez@yahoo.es
95,352001004691,ESC POPULAR CHAMPAGNAT,Privado,EYNER FABIAN CHAMORRO,7203149,marteaga@maristasnorandina.org
96,352001800101,INSTITUTO POLITÉCNICO DE LOS ANDES,Privado,HUGO HERNAN ORTIZ,3125654655,politecnicodelosandespoliandes@gmail.com
97,352001800055,GIMNASIO INFANTIL MI MUNDO FELIZ,Privado,VICKY ALEJANDRA JURADO,3162871961 - 7224922,gimimundofeliz@gmail.com ganaedith@yahoo.es
98,352001800098,INSTITUTO TÉCNICO SISTEMATIZADO DE NARIÑO - INTESNAR,Privado,HENRY ALBERTO BENITEZ GUERRERO,3175141967-3157216628,intesnar@gmail.com
99,352001800039,JARDIN INFANTIL TALENTOS 1,Privado,HUGO LUIS INSUASTY BASTIDAS,7367885 - 3234336000,jardininfantiltalentos@outlook.com
100,352001006723,C.E. SECRETO DE LOS NIÑOS,Privado,SANDRA MABEL PACHICHANA CASTILLO,3117445654,centroed.100@hotmail.com
101,352001004275,PREESC NVA SEMILLA,Privado,BARNEY VALLEJO REVELO,7308986 - 3105042450,nuevasemillapasto@hotmail.com barvare12@hotmail.com
102,352001000806,LIC SANTA TERESITA DE PASTO,Privado,FLAVIO HERNAN VILLOTA BENAVIDES,7317447 - 3163670685,lisatepa1@hotmail.com
103,352001002027,CENT DE PROM INTEGL Y TRABAJO COMUNIT CORAZON DE MARIA,Privado,ROBERTO FRANCISCO OJEDA TOBAR,7227776  - 3157668478,funproinco@hotmail.com   info@funproinco.org  rojeda@funproinco.org
104,352001005204,SALA MATERNAL Y JARDIN INFANTIL PININOS,Privado,MERCEDES DEL PILAR MONCAYO GUZMAN,3015016707,ceipininos@hotmail.com
105,352001004569,JARD INF MI NVO AMANECER,Privado,JOSE ALFREDO  MEJIA ARELLANO,7306151,minuevoamanecer@yahoo.es
106,352001006111,BTO MODERNO DE ADULTOS EXTERNADO DEL SUR,Privado,LUIS ALBERTO PUCHANA,7329422 - 3164963465 - 3158870892,externadosur@gmail.com
107,352001004658,COL COMFAMILIAR DE NARIÑO SIGLO XXI,Privado,MARIO ORLANDO ERASO CUACES,7230206 - EXT 3001,info@colegiocomfamiliarnarino.edu.co
108,352001800110,POLITECNICO AUTONOMO DEL SUR,Privado,LUIS HUMBERTO PAZ TIMANA,3155822173 -7202331,politecnicopazsur2019@gmail.com
109,352001800080,INSTITUTO POLITECNICO SUR ANDINO - POLISUR,Privado,ROCIO MERCEDES CAICEDO PAZ,7318795 - 3166765789,polsurandino@gmail.com
110,352001006782,JARDIN PROMESAS DEL FUTURO,Privado,AURA VICTORIA VELEZ MUÑOZ,7364410,promesas7@hotmail.com
111,352001006707,FUNDACION EL JARDÍN DEL NIÑO DIOS,Privado,LUZ EDILIA RESTREPO HOYOS,3136658589-3006539834,zuresdi1967@hotmail.com  fundaninodios@gmail.com
112,352001006715,JARDÍN INFANTIL Y PREESCOLAR GÉNESIS,Privado,MAYRA ALEJANDRA PAZ PAZ,730 05 54,preescolargenesis@gmail.com
113,352001006511,JARD INF MINIATURAS,Privado,DORA PAZ GUERRERO,7220444,miniaturas.pasto@gmail.com
114,352001006634,CENT EDUC COLORES DE PAZ,Privado,AMANDA LILIANA FLOREZ PARRA,7304872,coloresdepaz21@hotmail.com
115,352001006642,GIMNASIO SAN JUAN DE PASTO,Privado,MARIA XIMENA OBANDO NOGUERA,7226124 - 3175131614,ximenoguera@hotmail.com
116,352001005174,CENT DE ESTIMULACION ADECUADA PILOSOS,Privado,FLOR MARY CABRERA DELGADO,7315565 - 3007837054,cea_pilosos@yahoo.es
117,352001004623,JARD INF LA CIUDAD DE LOS NIÑOS,Privado,NANCY YAMILE DELGADO BOLAÑOS,7203144 - 3153355301,naya519r@hotmail.com
118,352001006502,CENT DE EDUC PREESC PERSONITAS CREATIVAS,Privado,RUBY INES CISNEROS R,3155593706,personitas-creativas@hotmail.com
119,352001006472,LIC PEDAG CASITA MAGICA,Privado,MARTHA LUCIA BENAVIDES RUALES,7217483 - 3154869710,marthaluciabenavides@hotmail.com
120,352001004992,INSTITUTO BET - EL,Privado,ALBERTO RODRIGUEZ SILVA,7377153,colgimbet_el@hotmail.com
121,352001006308,CENT EDUC INTEGL AMIGOS DE MAFALDA,Privado,LUZ MARINA PATIÑO MORA,7327117-3168280306,amigosdemafalda.p@gmail.com
122,352001000903,COL SAN FRANCISCO JAVIER,Privado,PADRE JOSE ALEJANDRO AGUILAR POSADA S.J.,7235597-7235031 - 3117231324,rector@javeriano.edu.co  academica@javeriano.edu.co
123,352001000814,LICEO DE LA MERCED MARIDIAZ,Privado,DOLLY MILENA DE LA CRUZ ARBOLEDA,7312093 - 7313668,maridiaz_3@hotmail.com liceodelamercedmaridiaz@gmail.com
124,352001800012,ACUARELA EDUCACION Y DESARROLLO INFANTIL S.A.S.,Privado,YULI ESMERALDA RUANO GARZON,7373812 - 3217708850,acuarelaedi@gmail.com
125,352001006766,INSTITUTO EDUCATIVO ALBERTO QUIJANO VODNIZA,Privado,LENNY VIVIANA MORA BENAVIDES,7224602 - 3147762094,desarrollodecolombia@gmail.com
126,352001006758,ESTABLECIMIENTO EDUCATIVO PASITOS DE SABIDURIA,Privado,DAISSY CAROLINA MONCAYO SALAS,7 229245,pasitosdesabiduria@hotmail.es
127,352001006600,JARDIN INFANTIL SISAY,Privado,LILIANA M BETANCOURTH,7314815,jardininfantilsisay@yahoo.com
128,352001005983,CENT LUDICO PEDAG INF JARD MELANIE KLEIN,Privado,RITA CECILIA CAMUEZ,7222377,rithaceci@hotmail.com jardinmklein@hotmail.com
129,352001006018,LIC PEDAG CARRUSEL DEL SABER,Privado,SANDRA JANETH TORO REYES,7362557 - 3154670525,carruseldelsaber@hotmail.com
130,352001004364,COLEGIO SANTA LAURA MONTOYA UPEGUI,Privado,DILIA GLADYS ROSERO NARVAEZ,7367468 - 3013426860,colegiosantalauramontoyaupequi@gmail.com mandradebastidas@gmail.com
131,352001006570,CENT LUDICO PEDAG MI CARITA FELIZ,Privado,ANA LUCIA ESTRADA OBANDO,7290383,micaritafeliz08@hotmail.com
132,352001003350,COL MILITAR COLOMBIA,Privado,NELSON ORLANDO NARVAEZ ESCOBAR,7207040,colmilcol@hotmail.com
133,352001004313,JARD INF DIVINO NIÑO,Privado,JUDY JACKELINE RUANO CAICEDO,3122932584,divino_nino_92@hotmail.com
134,352001006089,CENT DE EDUC INF CREADORES DEL FUTURO,Privado,YANETH GONZALEZ NARVAEZ NARVAEZ,7237663,creadoresdefuturo@hotmail.com
135,352001006316,CENT DE ESTIM INF BAMBAM,Privado,MARIA NELA CHAVES BASTIDAS,3043942982,jarinfbambam@gmail.com
136,352001006278,INST EDUC LUISEG,Privado,LUIS ENRIQUE PONTE GUERRA,7317470 - 3206999485 - 3154352355,luiseg87@gmail.com
137,352001001462,COL FILIPENSE NUESTRA SRA DE LA ESPERANZA,Privado,MAYA RESTREPO RUTH,7233676-7232921,rectoria@filipense.edu.co
138,352001800144,CENTRO DE  ESTIMULACION INFANTIL CONSTRUCTORES DEL MAÑANA,Privado,CAJIGAS SANTACRUZ ELITH ROVIRO,7218807 - 3154076818,jardininfantilconstructores@gmail.com
139,352001800161,JARDÍN INFANTIL PICASSO EL ARTE DE APRENDER,Privado,MORILLO ROSERO VANESSA STEPHANIA,7364986 - 3103689356,jardininpicasso2017@gmail.com
140,352001005212,C.E. LOS ANGELES INSTITUCIÓN EDUCATIVA,Privado,GABRIELA DEL SOCORRO BUSTOS JOJOA,7309042,angelinos2000@hotmail.com
141,352001004887,JARD INF Y SALA MATERNAL MI MUNDO CREATIVO,Privado,GLADYS URBANO MARCILLO,7320062,mi_mundo_creativo@hotmail.com
142,352001003791,COLEGIO MI PEQUEÑO MUNDO GIMNASIO LOS ANDES,Privado,GLORIA MARTINEZ GUERRERO,7310953,rectoria@gandes.edu.co
143,352001003201,COL LA INMACULADA,Privado,GUIDO NORBERTO ORTIZ NARVAEZ,7219917,colainpasto@gmail.com
144,352001006391,CENTRO DE ESTIMULACION INFANTIL Y PREESCOLAR NENYS BEBYS,Privado,MONICA LORENA CABRERA RODRIGUEZ,7310483-3014179644,martha.lu.navas@hotmail.com
145,352001006332,JARD INF CASITA DE SUEÑOS,Privado,SANDRA MILENA JURADO ERASO,7362457,natha1016@hotmail.com
146,352001001438,COL SAN FELIPE NERI,Privado,JUAN ANDRES ARTURO GONZALEZ,7235613,sanfeneripasto@gmail.com
147,352001006227,COL PARA ADULTOS COMFAMILIAR DE NARIÑO,Privado,MARIO ORLANDO ERASO CUACES,7230206 - EXT 3031,adultos@colegiocomfamiliarnarino.edu.co secretariadultos@colegiocomfamiliarnarino.edu.co
148,352001800152,JARDIN DE SNOOPY Y SUS AMIGOS,Privado,GINNETH CAROLINA GETIAL,7368142 - 3136187898,snoopyysusamigos2018@gmail.com
149,352001800136,JARDIN INFANTIL Y SALA MATERNAL FUTURINES,Privado,ANDREA PATRICIA DELGADO MARTINEZ,3043622568- 7290813,jardinfuturines@yahoo.es andreapatricia46@gmail.com
150,352001006685,JARDÍN INFANTIL HARVARD,Privado,JAKELINE  MABEL MORENO VALLEJO,7370293-3177820388,institucionharvard@gmail.com  katamova45@gmail.com
151,352001006693,CENTRO EDUCATIVO ZARABANDA,Privado,MARITZA DEL PILAR VALLEJO TORO,7377020 - 3137442200,mpvt30@hotmail.com
152,352001006596,JARDIN INFANTIL ARTE DE CRECER,Privado,ESMERALDA DEL CARMEN TORO ORTIZ,7376388 -3148305783,artedecrecerpasto@gmail.com
153,352001006367,JARD INF BOSQUESITO ENCANTADO,Privado,JENNY  PATRICIA GOMEZ GUERRERO,7210270,jennypgg2303@gmail.com
154,352001000873,LICEO JOSE FELIX JIMENEZ,Privado,JORGE ENRIQUE MONTENEGRO ORTIZ,7364800 - 3165370779,liceojosefelixjimenez@live.com
155,352001005990,JARD INF ALEGRE DESPERTAR,Privado,AURA NELLY MONTEZUMA PANTOJA,7367184,yoliinsuasty@hotmail.com
156,352001005969,COL ESTUDIAR AULA SIN FRONTERAS,Privado,OMAR RODRIGUEZ MONCADA,7293235,colegioestudiar@gmail.com
157,352001003830,CENT EDUC SANTO DOMINGO DE GUZMAN,Privado,MARTHA EGAS,7232591,cesdg@hotmail.com
